#{"t_start": 1702166746.9246688, "env_id": "None"}
r,l,t
-36195.717048,4001,23.150988
-36256.061539,4001,44.291385
-36250.884793,4001,65.570366
-36323.068964,4001,86.966363
-36220.89057,4001,107.750344
-36301.121081,4001,128.921365
-36337.773474,4001,149.80452
-36199.217694,4001,170.460511
-36331.789164,4001,191.300661
-36267.693641,4001,215.092621
-36266.292192,4001,236.374804
-36312.582607,4001,257.624793
-36259.606171,4001,278.404994
-36267.338695,4001,299.229985
-36283.467393,4001,320.278941
-36147.990467,4001,340.920963
-36293.277676,4001,361.525954
-36364.834608,4001,382.219946
-36280.026374,4001,403.0019
-36416.267864,4001,426.273888
-36252.618508,4001,447.111911
-36334.214151,4001,467.5939
-36256.830523,4001,488.27786
-36247.888759,4001,509.081847
-36064.500922,4001,530.584837
-35240.032839,4001,551.41686
-35961.675205,4001,572.035854
-36258.903849,4001,593.131847
-36251.741025,4001,614.202811
-35703.784876,4001,639.004793
-36347.276096,4001,659.785819
-36549.838195,4001,680.994777
-36349.724136,4001,702.439776
-35893.384961,4001,723.947518
-36046.997561,4001,745.91968
-36496.431981,4001,767.022516
-36316.229739,4001,787.49854
-36053.62353,4001,808.329613
-36327.732791,4001,829.197637
-35984.466727,4001,853.396618
-13420.250427,4001,874.814586
-36367.656248,4001,897.470575
-36372.929483,4001,919.058598
-36286.891119,4001,940.098589
-36264.295023,4001,961.203574
-36327.505459,4001,982.449571
-13285.213662,4001,1004.272532
-36367.911574,4001,1025.077556
-36650.983788,4001,1045.82055
-36355.507465,4001,1069.93276
-36244.154204,4001,1090.855758
-36195.976377,4001,1111.456739
-36333.233122,4001,1132.183704
-13135.788718,4001,1152.646727
-36457.294306,4001,1173.210694
-36097.478258,4001,1193.544713
-35297.751741,4001,1214.089707
-36059.730449,4001,1234.842697
-13441.96991,4001,1255.449655
-36241.80007,4001,1278.953679
-35167.305699,4001,1299.859816
-36597.18037,4001,1320.724778
-35831.645392,4001,1341.584804
-13565.349994,4001,1363.137799
-35686.351515,4001,1384.614783
-13520.38477,4001,1405.943745
-36379.155626,4001,1428.506737
-36129.968846,4001,1450.147775
-13269.051946,4001,1470.663761
-36452.895996,4001,1494.640721
-36550.170774,4001,1515.343747
-35741.320141,4001,1536.195735
-36529.297223,4001,1557.119928
-13396.979226,4001,1577.960923
-13579.090366,4001,1598.930109
-13363.967544,4001,1619.695104
-36136.384608,4001,1640.407067
-36701.239273,4001,1661.4151
-36396.597903,4001,1682.376055
-36020.514565,4001,1706.20108
-36400.609644,4001,1727.042182
-13252.899344,4001,1748.355145
-13519.503982,4001,1770.150141
-36580.772924,4001,1792.188162
-36522.850553,4001,1812.908344
-36580.570099,4001,1833.568339
-36526.378196,4001,1854.149333
-36574.109537,4001,1874.653326
-36738.214488,4001,1895.30432
-36087.943348,4001,1919.363313
-35411.880584,4001,1940.83531
-36587.155049,4001,1962.130067
-36752.027842,4001,1982.844092
-13499.07731,4001,2004.107055
-13451.502344,4001,2025.6102
-13523.676155,4001,2046.6412
-13420.568454,4001,2068.25419
-13520.940921,4001,2089.815187
-13629.715721,4001,2111.259206
-13447.980121,4001,2135.648897
-36680.967978,4001,2156.965889
-36903.35737,4001,2177.99196
-13577.491356,4001,2199.029961
-36703.131888,4001,2219.714981
-36500.252211,4001,2240.895938
-13492.074009,4001,2261.956315
-36550.5718,4001,2282.998341
-36663.834134,4001,2304.516335
-13457.438636,4001,2325.235296
-13087.30303,4001,2349.245319
-36362.948585,4001,2370.647523
-36406.696875,4001,2391.977517
-34617.124411,4001,2413.603517
-36790.817213,4001,2435.185378
-13258.986973,4001,2456.79338
-36209.357143,4001,2478.263099
-13692.893861,4001,2499.678094
-36725.336357,4001,2521.073087
-36836.421825,4001,2542.396077
-13536.820592,4001,2566.929074
-36571.560014,4001,2588.296068
-36934.827069,4001,2609.720068
-36458.709221,4001,2632.34349
-13680.667364,4001,2653.943728
-13306.813096,4001,2677.043751
-36498.74822,4001,2700.767758
-36388.898179,4001,2722.941765
-36982.72229,4001,2745.827755
-13666.596393,4001,2767.643781
-35586.401896,4001,2793.722264
-36708.751162,4001,2816.826259
-36804.943878,4001,2839.535283
-36612.085236,4001,2862.794247
-36537.585629,4001,2886.604244
-13592.521396,4001,2910.767012
-13657.52814,4001,2933.373995
-13555.408949,4001,2955.486022
-35913.182822,4001,2977.273987
-36676.567523,4001,2999.300982
-36635.918385,4001,3025.208014
-13343.552912,4001,3047.182004
-36634.535058,4001,3068.530968
-13529.32637,4001,3089.828967
-13738.723699,4001,3111.834997
-13566.611946,4001,3133.758161
-13541.584658,4001,3157.113842
-13719.547625,4001,3180.121871
-13696.218446,4001,3202.646868
-13712.328803,4001,3225.824868
-36172.615431,4001,3251.515854
-36507.859675,4001,3273.857848
-13688.330298,4001,3296.031822
-37005.882061,4001,3318.448843
-36389.598391,4001,3341.188807
-36050.507126,4001,3363.637835
-36914.059142,4001,3385.770795
-13598.691453,4001,3408.298817
-13721.452549,4001,3430.045816
-13684.470975,4001,3451.763809
-13625.273179,4001,3476.710809
-36715.978948,4001,3498.833803
-36365.925202,4001,3520.939799
-36490.677311,4001,3542.524766
-36971.069287,4001,3563.927791
-13812.519503,4001,3585.550756
-13549.226076,4001,3607.870786
-36566.642811,4001,3629.946756
-35990.642897,4001,3651.668779
-13640.757077,4001,3673.539783
-36889.583431,4001,3698.897774
-37114.021627,4001,3720.927743
-36491.098028,4001,3742.657771
-36697.139683,4001,3764.939743
-13745.046295,4001,3787.785005
-13757.007543,4001,3809.903993
-35991.905753,4001,3832.198027
-13421.702745,4001,3854.045062
-36731.811927,4001,3875.996063
-13756.634719,4001,3897.38306
-13684.567323,4001,3921.901061
